Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
210094,Z6A Parking Lot,01/27/2021 2310 hours,Between01/27/2021 120001/27/2021 2230,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z6-A parking lot.",Open Inactive,Striking of unattended vehicle
210097,Bledsoe Res. Hall,01/27/2021 2200 hours,01/27/2021 2200 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Bledsoe Residence Hall. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210096,West Village B Res. Hall,01/27/2021 1416 hours,Between01/23/2021 133301/23/2021 1334,"An officer investigated a report of criminal trespass, which occurred at West Village B. A criminally trespassed non-student was observed on Texas Tech property.",Open Inactive,Criminal trespass
210093,Coleman Res. Hall,01/26/2021 2218 hours,01/26/2021 2218 hours,"An officer issued two students Lubbock County citations for possession of drug paraphernalia, which occurred at Coleman Residence Hall. The students signed the citations and were released.",Cleared By Arrest,Possession of drug paraphernalia
210092,R34 Parking Lot,01/26/2021 1516 hours,Between01/26/2021 110001/26/2021 1230,"An officer investigated duty on striking an unattended vehicle, which occurred in the R-34 parking lot.",Open Inactive,Striking of unattended vehicle
210090,Z1B Parking Lot,01/26/2021 1337 hours,01/26/2021 1337 hours,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z1-B parking lot.",Open Inactive,Striking of unattended vehicle
210089,Flint Avenue Parking Garage,01/26/2021 0951 hours,Between01/24/2021 080001/25/2021 0700,"An officer investigated duty on striking an unattended vehicle, which occurred on the 2nd floor of the Flint Avenue Parking Garage.",Open Inactive,Striking of unattended vehicle
210088,Off Campus,01/26/2021 0340 hours,01/26/2021 0340 hours,"An officer arrested  a non-student for theft, which occurred at 20th Street and Canton Avenue. A bicycle was stolen and recovered. The non-student was issued a  criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
210087,Weymouth Res. Hall,01/26/2021 0008 hours,01/26/2021 0008 hours,"An officer released  a student, pending the filing of charges, for possession of a substance  in penalty group 2 (THC Oil), which occurred at Weymouth Residence Hall. The student was also issued a Lubbock County citation for possession of drug paraphernalia. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210086,Flint Avenue,01/25/2021 2152 hours,01/25/2021 2152 hours,"An officer arrested  a non-student for public intoxication and possession of a controlled substance (crack cocaine), which occurred in the 400 block of Flint Avenue. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210085,"Rec Center, Robert H. Ewalt Student",01/25/2021 2139 hours,01/25/2021 2139 hours,"An officer investigated theft, which occurred at the bicycle racks at the Robert Ewalt Student Recreation Center. A secured bicycle was stolen.",Open Inactive,Bike theft
210084,Clement Res. Hall,01/25/2021 1753 hours,Between01/20/2021 140001/23/2021 0900,"An officer investigated theft, which occurred at the north bicycle racks at Clement  Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210083,Chitwood Res. Hall,01/25/2021 1611 hours,Between12/09/2021 140001/20/2021 0830,"An officer investigated theft, which occurred at the west bicycle racks at Chitwood  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210082,Broadway Entrance,01/25/2021 1259 hours,01/21/2021 1545 hours,"An officer investigated theft, which occurred in the 2500 block of Broadway Street.  A student's unsecured pouch attachment on a backpack, containing miscellaneous items was stolen.",Open Inactive,General theft
210081,Coleman Res. Hall,01/25/2021 0014 hours,01/25/2021 0014 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Coleman Residence Hall. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210080,Wall Res. Hall,01/25/2021 0001 hours,01/25/2021 0001 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Wall Residence Hall. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210079,Z1B Parking Lot,01/24/2021 2237 hours,01/24/2021 2237 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in the Z1-B parking lot. The student was also issued a Lubbock County citation for possession of drug paraphernalia. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210077,Center for the Study of Addiction & Recovery,01/24/2021 1614 hours,01/24/2021 1614 hours,"An officer arrested  a non-student for theft, possession of more than one valid driver license and evading arrest or detention, which occurred in the 1300 block of Akron Avenue. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail. The stolen bicycle from TTPD case #210076 was recovered.",Cleared By Arrest,Bike theft
210076,Knapp Res. Hall,01/24/2021 1400 hours,Between01/23/2021 100001/24/2021 1100,"An officer investigated theft, which occurred at the west bicycle racks at Knapp Residence Hall. A secured bicycle was stolen. [1/27/2021] A suspect was arrested during a related investigation and transported to the Lubbock County Detention Center.",Cleared By Arrest,Bike theft
210075,Knapp Res. Hall,01/24/2021 1313 hours,Between01/22/2021 170001/24/2021 1230,"An officer investigated theft, which occurred at the west bicycle racks at Knapp Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210078,Murray Res. Hall,01/23/2021 1522 hours,01/23/2021 1522 hours,"An officer documented information in reference to a medical, which occurred at Murray Residence Hall. The student was transported to the University Medical Center by EMS.",Incident Report - Case Closed,UNDEFINED
210074,Sneed Res. Hall,01/23/2021 0918 hours,Between01/19/2021 163001/23/2021 0900,"An officer investigated theft, which occurred at the north west bicycle racks at Sneed Residence Hall. A secured bicycle was stolen. [1/27/2021] A suspect was identified during a related arrest and was released pending the filing of charges with the Lubbock County District Attorney's Office.",Cleared By Case Presentment,Bike theft
210073,Sneed Res. Hall,01/23/2021 0427 hours,01/23/2021 0427 hours,"An officer arrested  a non-student for theft of a bicycle, possession of drug paraphernalia,  criminal trespass and organized crime, which occurred in the alley in the 2400 block of Main Street. The non-student was also released, pending the filing of charges, for use of a criminal instrument. A second non-student was arrested for evading arrest and organized crime, which occurred in the alley in the 2300 block of Broadway Street. This non-student was also released, pending the filing of charges, for theft and use of a criminal instrument. A third non-student was arrested for evading arrest, organized crime and outstanding LPD warrants, which occurred in the 1300 block of Avenue W. This non-student was also released, pending the filing of charges, for theft and use of a criminal  instrument. All three non-students were issued criminal trespass warnings for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
210072,Z4R Parking Lot,01/23/2021 0330 hours,01/23/2021 0330 hours,"An officer arrested  a student for evading arrest in a motor vehicle, possession of drug paraphernalia and possession of a fictitious license, which occurred in the Z4-R parking lot. The student was transported to the Lubbock County Jail and the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Fictitious license
210071,Off Campus,01/22/2021 2144 hours,01/22/2021 2144 hours,"An officer documented information in reference to assisting another agency, which occurred at an off campus location.",Incident Report - Case Closed,UNDEFINED
210070,Off Campus,01/22/2021 2103 hours,01/22/2021 2103 hours,"An officer documented information in reference to assisting another agency, which occurred at an off campus location.",Incident Report - Case Closed,UNDEFINED
210069,Off Campus,01/22/2021 1836 hours,01/22/2021 1836 hours,"An officer documented information in reference to assisting another agency, which occurred at an off campus location.",Incident Report - Case Closed,UNDEFINED
210068,West Village B Res. Hall,01/22/2021 1647 hours,01/22/2021 1647 hours,"An officer investigated assault (domestic violence) and interference with emergency  telephone call, which occurred at West Village B. A female student was assaulted and prevented from making an emergency call to police by a male non-student.",Cleared By Case Presentment,Assault
210067,Off Campus,01/22/2021 1501 hours,01/22/2021 1501 hours,"An officer documented information in reference to assisting another agency, which occurred at an off campus location.",Incident Report - Case Closed,UNDEFINED
210066,R2 Parking Lot,01/22/2021 1356 hours,01/22/2021 1356 hours,"An officer documented information in reference to damaged property, which occurred in the R-2 parking lot. A traffic pole was damaged.",Incident Report - Case Closed,General Damaged Property
210065,Z3K Parking Lot,01/22/2021 0845 hours,Between01/21/2021 213001/22/2021 0845,"An officer investigated burglary of vehicles, which occurred in the Z3-K parking lot.",Open Inactive,Burgalry of a motor vehicle
210064,Z3M Parking Lot,01/22/2021 0752 hours,01/22/2021 0752 hours,"An officer arrested  a non-student for felon in possession of a firearm, two capias and two non-capias Lubbock Police Department warrants, which occurred in the Z3-M parking lot. A second non-student was arrested for burglary of vehicles and failure to identify. Both non-students were issued criminal trespass warnings for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Burgalry of a motor vehicle
210063,Z4P Parking Lot,01/22/2021 0205 hours,01/22/2021 0205 hours,"An officer arrested  a student for possession of marijuana, possession of drug paraphernalia  and resisting arrest, which occurred in the Z4-P parking lot. The student was also issued a Lubbock County citation for possession of a fictitious drivers license, which the student signed. The student was transported to the Lubbock County Jail and the vehicle was left legally parked.",Cleared By Arrest,Fictitious license
210061,Chitwood Res. Hall,01/21/2021 1858 hours,Between11/19/2020 090001/21/2021 1800,"An officer investigated theft, which occurred at the north bicycle racks at Chitwood Residence Hall. A secured bicycle and two bicycle locks were stolen.",Open Inactive,Bike theft
210060,Z3F Parking Lot,01/21/2021 1835 hours,01/21/2021 1835 hours,"An officer issued a  student a Lubbock County Citation for possession of drug paraphernalia,  which occurred in the Z3-F parking lot. The student signed the citation  and was released.",Cleared By Arrest,Possession of drug paraphernalia
210059,Z6A Parking Lot,01/21/2021 0754 hours,Between01/20/2021 210001/21/2021 0754,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z6-A parking lot.",Open Inactive,Striking of unattended vehicle
210058,Z5B Parking Lot,01/21/2021 0006 hours,01/21/2021 0006 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in the Z5-B parking lot. The student was also issued a Lubbock County citation for possession of drug paraphernalia. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210057,Z2D Parking Lot,01/20/2021 2338 hours,Between01/20/2021 173001/20/2021 2230,"An officer investigated criminal mischief, which occurred in the Z2-D parking lot. A vehicle was damaged.",Open Inactive,Criminal mischief
210056,Honors Res. Hall,01/20/2021 1849 hours,Between01/19/2021 180001/20/2021 1400,"An officer investigated theft, which occurred at the southeast bicycle racks at Honors Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210055,Murray Res. Hall,01/20/2021 1559 hours,Between11/24/2020 060001/19/2021 1000,"An officer investigated burglary of a habitation, which occurred at Murray Residence Hall. Electronics were stolen from a secured room.",Open Inactive,Building burglary
210054,Murray Res. Hall,01/20/2021 1339 hours,Between11/23/2020 093001/15/2021 1700,"An officer investigated burglary of a habitation, which occurred at Murray Residence Hall. An alarm clock was stolen from a secured room.",Open Inactive,Building burglary
210053,Honors Res. Hall,01/20/2021 1337 hours,01/20/2021 1337 hours,"An officer arrested  a non-student for theft of a bicycle and evading arrest or detention, which occurred in the 2400 block of 15th Street. The non-student was issued an instantered Lubbock County Citation for theft (shoplifting) from the CVS, located at 1401 University Avenue. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
210052,Gates Res. Hall,01/20/2021 1239 hours,Between01/15/2021 150001/18/2021 1400,"An officer investigated theft, which occurred at the bicycle racks at Gates Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210051,"Rec Center, Robert H. Ewalt Student",01/19/2021 1643 hours,Between12/12/2021 100001/17/2021 1800,"An officer investigated theft, which occurred at the north bicycle racks at the Robert H. Ewalt Student Recreation Center. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210050,Honors Res. Hall,01/19/2021 1552 hours,Between12/09/2021 100001/17/2021 1700,"An officer investigated theft, which occurred on the west bicycle racks at Honors Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210048,C1 South Parking Lot,01/19/2021 1527 hours,Between01/19/2021 122001/19/2021 1520,"An officer investigated duty on striking an unattended vehicle, which occurred in the C-1 South parking lot.",Open Inactive,Striking of unattended vehicle
210045,Clement Res. Hall,01/19/2021 1451 hours,Between11/18/2020 160001/18/2021 2100,"An officer investigated theft, which occurred at the north bicycle racks at Clement  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210046,Murdough Res. Hall,01/19/2021 1420 hours,Between01/15/2021 140001/19/2021 1400,"An officer investigated theft and criminal mischief, which occurred at the north side bicycle racks at Murdough Residence Hall. A secured bicycle was stolen and a u-bolt lock was cut.",Open Inactive,Bike theft
210044,Murray Res. Hall,01/19/2021 1344 hours,Between11/21/2020 100001/18/2021 1800,"An officer investigated theft, which occurred at the bicycle racks at Murray Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210043,Murray Res. Hall,01/19/2021 1344 hours,Between11/21/2020 100001/18/2021 1800,"An officer investigated theft, which occurred at the bicycle racks at Murray Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210042,Gates Res. Hall,01/19/2021 1307 hours,Between11/17/2020 100001/19/2021 1300,"An officer investigated theft, which occurred at the bicycle racks at Gates Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210040,Jones AT&T Stadium (Football),01/19/2021 0903 hours,Between01/18/2021 100001/18/2021 1100,"An officer investigated theft, which occurred on the East side of Jones AT&T Stadium. A projector and laptop were stolen.",Open Inactive,General theft
210039,C16 Parking Lot,01/19/2021 0818 hours,Between01/15/2021 170001/19/2021 0700,"An officer investigated duty on striking a structure, fixture, or highway landscaping, which occurred in the C-16 parking lot.",Open Inactive,UNDEFINED
210038,Chitwood Res. Hall,01/19/2021 0003 hours,01/19/2021 0049 hours,"A officer arrested a  student for public intoxication and possession of a fictitious driver license, which occurred at Chitwood Residence Hall. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210037,Coleman Res. Hall,01/18/2021 2112 hours,01/18/2021 2112 hours,"An officer documented information in reference to a medical, which occurred at Coleman Residence Hall.",Incident Report - Case Closed,UNDEFINED
210036,Z4P Parking Lot,01/18/2021 1209 hours,Between01/17/2021 210001/18/2021 1100,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z4-P parking lot. A student's vehicle was damaged.",Open Inactive,Striking of unattended vehicle
210034,Sneed Res. Hall,01/18/2021 1007 hours,Between01/17/2021 180001/18/2021 0900,"An officer investigated theft, which occurred at the west bicycle racks at Sneed Residence Hall. A student's secured bicycle was stolen.",Open Inactive,Bike theft
210035,Engineering Center,01/18/2021 0929 hours,01/18/2021 0929 hours,"An officer documented information in reference to damaged property, which occurred at the Engineering Center. A water leak caused damage in the building.",Incident Report - Case Closed,General Damaged Property
210032,Flint Avenue Parking Garage,01/18/2021 0052 hours,01/18/2021 0052 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at the Flint Avenue Parking Garage. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210031,Clement Res. Hall,01/17/2021 2356 hours,01/17/2021 2356 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred at Clement Residence Hall. The student was also issued a Lubbock County citation for possession of drug paraphernalia. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210030,Murdough Res. Hall,01/17/2021 2145 hours,Between01/16/2021 214501/17/2021 2145,"An officer investigated theft, which occurred at the north bicycle racks at Murdough Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210029,Animal & Food Sciences,01/17/2021 2113 hours,01/17/2021 2113 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in the 800 block of Akron Avenue, following a traffic stop. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210028,Murray Res. Hall,01/17/2021 1648 hours,Between12/04/2020 103012/31/2020 2200,"An officer investigated burglary of a habitation and credit card abuse, which occurred at Murray Residence Hall. A firestick was stolen and used to purchase movies.",Open Inactive,Building burglary
210026,Bledsoe Res. Hall,01/17/2021 1327 hours,Between11/22/2020 140001/17/2021 1200,"An officer investigated theft, which occurred at the south bicycle racks at Bledsoe  Residence Hall. A student's secured bicycle was stolen.",Open Inactive,Bike theft
210025,Carpenter/Wells Complex,01/17/2021 1226 hours,Between11/25/2020 080001/17/2021 1226,"An officer investigated theft, which occurred at the west bicycle racks at Carpenter Wells, building #15. A student's secured bicycle was stolen.",Open Inactive,Bike theft
210024,Coleman Res. Hall,01/17/2021 0047 hours,01/17/2021 0047 hours,"An officer arrested  a student for possession of a substance in penalty group 2 (THC Oil) and possession of drug paraphernalia, which occurred at Coleman Residence Hall. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210023,Murray Res. Hall,01/17/2021 0014 hours,01/17/2021 0014 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Murray Residence Hall. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210022,Honors Res. Hall,01/16/2021 2152 hours,01/16/2021 2152 hours,"An officer investigated harassment, which occurred at Honors Residence Hall. A student received alarming and threatening text messages.",Open Inactive,Harassment
210021,Murray Res. Hall,01/16/2021 1743 hours,Between12/10/2020 093001/15/2021 1130,"An officer investigated burglary of a habitation, which occurred at Murray Residence Hall. Several electronic devices were stolen.",Open Inactive,Building burglary
210020,Carpenter/Wells Complex,01/16/2021 1637 hours,01/16/2021 1637 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Carpenter Wells. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210019,Coleman Res. Hall,01/16/2021 1319 hours,Between01/15/2021 200001/16/2021 1200,"An officer investigated theft, which occurred at the south bicycle racks at Coleman  Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210018,"Talkington Res. Hall, J.T. & Margaret",01/15/2021 1738 hours,Between12/07/2020 120001/15/2021 1500,"An officer investigated theft, which occurred at the north side bicycle racks at Talkington Hall. A secured bicycle and lock were stolen.",Open Active,Bike theft
210017,Z5B Parking Lot,01/15/2021 0239 hours,01/15/2021 0239 hours,"An officer arrested  a non-student for possession of a controlled substance (THC Wax), which  occurred in the Z5-B parking lot, following the investigation of a suspicious vehicle. A non-student passenger was also arrested for possession of alcohol by a minor. Both non-students were transported to the Lubbock County Jail and the vehicle was impounded by Lubbock Wrecker  Services.",Cleared By Arrest,Consumption of alcohol by a minor
210016,Off Campus,01/14/2021 0210 hours,01/14/2021 0210 hours,"An officer issued a  non-student a Lubbock County citation for possession of drug paraphernalia, which occurred in the 1900 block of Louisville Avenue, following a traffic stop. The non-student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210015,Honors Res. Hall,01/13/2021 1924 hours,Between12/12/2020 120001/13/2021 1924,"An officer investigated theft, which occurred at the bicycle racks on the southeast  side of Honors Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210014,Gordon Res. Hall,01/12/2021 1608 hours,Between11/22/2020 210001/12/2021 1500,"An officer investigated theft, which occurred at the south bicycle racks in the 2500 block of Main Street. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210012,University Avenue,01/09/2021 2319 hours,01/09/2021 2319 hours,"An officer arrested  a non-student for driving while intoxicated, which occurred in the 400 block of University Avenue. A non-student passenger was also arrested for public intoxication. Both non-students were transported to the Lubbock County Jail. The non-student's vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Public intoxication
210011,Flint Avenue,01/09/2021 1504 hours,01/09/2021 1504 hours,"An officer released  a student, pending the filing of charges, for possession of more than one valid driver license, following a traffic stop in the 1400 block of Flint Avenue. The student was also issued a citation for the traffic violation, which they signed and were released.",Cleared By Case Presentment,UNDEFINED
210010,"Hance Chapel, Kent R.",01/08/2021 1509 hours,01/08/2021 1509 hours,"An officer issued two non-students a criminal trespass warning for all Texas Tech property, which occurred on the south side of the Kent Hance Chapel. Both non-students left campus.",Incident Report - Case Closed,Criminal trespass
210009,Carpenter/Wells Complex,01/08/2021 1254 hours,Between01/06/2021 200001/08/2021 0900,"An officer investigated theft, which occurred at the Carpenter Wells Apartment Complex. A secured bicycle was stolen.",Open Inactive,Bike theft
210008,Off Campus,01/08/2021 0210 hours,01/08/2021 0210 hours,"An officer arrested  a non-student for driving while intoxicated (with an open container), which occurred in the 1800 block of the I-27 Service Road. The non-student was transported to the Lubbock County Jail. The non-student's vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210007,Main Street,01/07/2021 1618 hours,01/07/2021 1618 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 3200 block of Main Street.",Incident Report - Case Closed,Vehicle accident
210006,"Rec Center, Robert H. Ewalt Student",01/07/2021 1120 hours,01/07/2021 1110 hours,"An officer arrested  a non-student for criminal trespass, which occurred at the Texas Tech Recreation Center. The non-student was issued a new criminal trespass warning and transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210004,Science - Physics & Geosciences,01/05/2021 1509 hours,Between12/22/2020 130001/05/2021 1500,"An officer investigated theft, which occurred in the Science Building. An unsecured Dell laptop was stolen.",Open Inactive,General theft
210002,Off Campus,01/03/2021 0808 hours,01/03/2021 0808 hours,"An officer issued a  non-student a Lubbock County citation for possession of drug paraphernalia, following an observed traffic violation, which occurred in the 3400 block of 4th Street. The non-student signed the citation and  was released.",Cleared By Arrest,Possession of drug paraphernalia
210001,C2 North Parking Lot,01/03/2021 0049 hours,01/03/2021 0049 hours,"An officer arrest a  non-student for reckless driving, possession of drug paraphernalia and possession of a substance in penalty group 2A (Synthetic Marijuana), following a traffic stop in the C-2 parking lot. The non-student was transported to the Lubbock County Jail and the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
200818,Texas Tech Parkway,12/28/2020 2047 hours,12/28/2020 2047 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the 1800 block of Texas Tech Parkway. The non-student was also issued a Lubbock County citation for possession of drug paraphernalia and open container of alcohol in a motor vehicle. A non-student passenger was also issued a Lubbock County citation for open  container of alcohol in a motor vehicle. The non-students signed the citations and were released.",Cleared By Arrest,Possession of drug paraphernalia
200817,"Law, School of",12/26/2020 2238 hours,12/26/2020 2238 hours,"An officer investigated a traffic accident, which occurred in the 1800 block of Texas Tech Parkway. A vehicle struck the west side of the Law School building and fled the scene.",Incident Report - Case Closed,Vehicle accident
200816,"Law, School of",12/26/2020 2238 hours,12/26/2020 2238 hours,"An officer investigated duty on striking a structure or highway landscaping, which occurred in the 1800 block of Texas Tech Parkway. A vehicle struck the west side of the Law School building and fled the scene.",Open Inactive,UNDEFINED
200815,Livermore Center,12/23/2020 1538 hours,Between12/19/2020 110012/19/2020 1900,"An officer investigated theft, which occurred at the bicycle racks on the east side  of the Livermore Center. A secured bicycle was stolen.",Open Inactive,Bike theft
200814,University Avenue,12/22/2020 1002 hours,12/22/2020 1002 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana following an observed traffic violation in the 800 block of University Avenue. The non-student was also issued citations for drug paraphernalia and no driver's license, which was signed and the non-student was released.",Cleared By Arrest,Possession of drug paraphernalia
200813,4th Street,12/22/2020 0031 hours,12/22/2020 0031 hours,"An officer arrested  a non-student for outstanding Lubbock Police Department warrants, which  occurred in the 4300 block of 4th Street. The non-student was transported to the Lubbock County Jail. The vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,UNDEFINED
200812,Marsha Sharp Freeway,12/19/2020 0522 hours,12/19/2020 0522 hours,"An officer arrested  a non-student for driving while intoxicated and unlawful carrying of a weapon, which occurred in the 3000 block of Marsha Sharp Freeway. The non-student was transported to the Lubbock County Jail. The non-students vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
200809,C1 North Parking Lot,12/18/2020 2046 hours,12/18/2020 2046 hours,"An officer arrested  a student for driving while intoxicated and duty on striking a highway fixture, which occurred in the C-1 North parking lot. The student was transported to the Lubbock County Jail.",Cleared By Arrest,DUI
200810,C1 North Parking Lot,12/18/2020 2046 hours,12/18/2020 2046 hours,"An officer investigated a traffic accident, without injuries, which occurred in the  C-1 North parking lot. A vehicle struck a Lubbock Power and Light electrical box.",Incident Report - Case Closed,Vehicle accident
200808,Stangel Res. Hall,12/18/2020 1440 hours,Between12/18/2020 100012/18/2020 1440,"An officer investigated theft, which occurred at the bicycle racks on the north side of Stangel Hall. A secured bicycle was stolen.",Open Active,Bike theft
200807,Weeks Hall,12/18/2020 1003 hours,Between12/11/2020 211512/18/2020 0040,"An officer documented information in reference to unwanted communications, which occurred at Weeks Hall.",Incident Report - Case Closed,Unwanted communication
200806,C1 North Parking Lot,12/16/2020 0016 hours,12/16/2020 0016 hours,"An officer arrested  a non-student for possession of marijuana, possession of drug paraphernalia and outstanding Lubbock Police Department warrants, which occurred in the C-1 North parking lot. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
200804,Texas Tech Parkway,12/14/2020 2347 hours,12/14/2020 2347 hours,"An officer arrested  a non-student for interference with public duties, resisting arrest and  assault on a public servant, following a traffic stop in the 300 block of Texas Tech Parkway. The non-student was transported to the Lubbock County Jail. The vehicle was released to the owner.",Cleared By Arrest,Assault
200802,C1 North Parking Lot,12/14/2020 1120 hours,Between09/12/2020 060012/14/2020 1120,"An officer investigated criminal mischief, which occurred in the C-1 parking Lot. The tires on a solar silent messenger board were damaged.",Open Inactive,Criminal mischief
200803,Off Campus,12/14/2020 0846 hours,12/12/2020 2152 hours,"An officer documented information in reference to unwanted communication received by a faculty member, which occurred at an off campus location.",Incident Report - Case Closed,Unwanted communication
200801,"Turf Care Center, Rawls",12/14/2020 0613 hours,Between12/11/2020 113012/14/2020 0613,"An officer investigated theft and criminal mischief, which occurred at the Rawls Turf Care Center. Fuel and fuel containers were stolen.",Open Inactive,Criminal mischief
200800,Weymouth Res. Hall,12/10/2020 1116 hours,12/10/2020 1116 hours,An officer documented found contraband at Weymouth Residence Hall. Marijuana and drug paraphernalia were located during a room check.,Disciplinary Referral Only,Possession of drug paraphernalia
200798,West Village B Res. Hall,12/09/2020 1431 hours,Between12/08/2020 220012/09/2020 1330,"An officer investigated theft, which occurred at the southwest bicycle racks at West Village B. A secured bicycle was stolen.",Open Inactive,Bike theft
200797,C1 South Parking Lot,12/09/2020 0952 hours,Between12/08/2020 093012/08/2020 1830,"An Officer investigated duty on striking an unattended vehicle, which occurred in the C-1 parking lot.",Open Inactive,Striking of unattended vehicle
200796,R31 Parking Lot,12/08/2020 1638 hours,12/08/2020 1629 hours,"An officer investigated unauthorized use of a motor vehicle, which occurred on the west side of the Administrative Support Building in the R-31 parking lot. An unsecured motor vehicle was stolen.",Open Active,General theft
200794,C14 Parking Lot,12/07/2020 1150 hours,Between11/17/2020 150012/07/2020 1130,"An officer investigated theft, which occurred at the bicycle racks in the C-14 parking lot. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
200793,Texas Tech Parkway,12/07/2020 0810 hours,12/07/2020 0810 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 1000 block of Texas Tech Parkway.",Incident Report - Case Closed,Vehicle accident
200792,Off Campus,12/06/2020 0831 hours,12/06/2020 0831 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana following an observed traffic violation, which occurred in the 2400 block of Glenna Goodacre Boulevard.",Cleared By Case Presentment,Possession of drug paraphernalia
200791,Student Union Building,12/05/2020 1646 hours,12/05/2020 1646 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred at the Student Union Building.",Incident Report - Case Closed,Criminal trespass
200789,Z4M Parking Lot,12/04/2020 2315 hours,12/04/2020 2315 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in the Z4-M parking lot. The student was also issued a Lubbock County citation for possession of drug paraphernalia. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
200790,17th Street,12/04/2020 2310 hours,12/04/2020 2310 hours,"An officer documented information in reference to unwanted contact between two students, which occurred at Horn Residence Hall.",Incident Report - Case Closed,Unwanted communication
